drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
21/8407;2017-03-21;2017-03-28;Geringe Zustimmung zu Carsharing-Projekt „firstmover“;"Dennis Thering; Franziska Grunwaldt";CDU;23;31;5;True;True;52262;21_08407_geringe_zustimmung_zu_carsharing_projekt_firstmover.md
21/8408;2017-03-21;2017-03-28;Stiftungen im Bereich Natur- und Umweltschutz;"Michael Kruse; Dr. Kurt Duwe";FDP;4;6;6;True;True;52263;21_08408_stiftungen_im_bereich_natur_und_umweltschutz.md
21/8409;2017-03-21;2017-03-28;Informationstechnik-Gesamtplan und Fortentwicklung der Eckpunkte der E-Government- und IT-Strategie (IV);Jennyfer Dutschke;FDP;4;8;2;True;True;52264;21_08409_informationstechnik_gesamtplan_und_fortentwicklung_der_eckpunkte_der_e_government_und_it_strategie_iv.md
21/8410;2017-03-21;2017-03-28;Situation in der Hamburger Justiz – Personal Geschäftsstellen;Anna-Elisabeth von Treuenfels-Frowein;FDP;5;9;4;True;True;52265;21_08410_situation_in_der_hamburger_justiz_personal_geschaeftsstellen.md
21/8411;2017-03-22;2017-03-28;„Endlich meins!“ - Das Immobilienprogramm der SAGA Unternehmensgruppe;Jörg Hamann;CDU;9;14;5;True;True;52266;21_08411_endlich_meins_das_immobilienprogramm_der_saga_unternehmensgruppe.md
21/8412;2017-03-22;2017-03-28;Flagge zeigen – 10.März – Gedenktag des tibetischen Volksaufstandes;Dr. Alexander Wolf;AfD;4;8;2;True;True;52267;21_08412_flagge_zeigen_10_maerz_gedenktag_des_tibetischen_volksaufstandes.md
21/8413;2017-03-22;2017-03-28;Gewaltmeldungen an Schulen – Ausnahmen und Regeln (II);Sabine Boeddinghaus;Die Linke;12;16;3;True;True;52271;21_08413_gewaltmeldungen_an_schulen_ausnahmen_und_regeln_ii.md
21/8414;2017-03-22;2017-03-28;Öffentliche Mittel für die Goldene Kamera?;Prof. Dr. Jörn Kruse;AfD;5;5;1;True;True;52272;21_08414_oeffentliche_mittel_fuer_die_goldene_kamera.md
21/8415;2017-03-22;2017-03-28;Teilt der Senat die Ansichten der niedersächsischen Landesnahverkehrsgesellschaft bezüglich der „Metronom“-Verspätungen?;Dennis Thering;CDU;10;15;4;True;True;52273;21_08415_teilt_der_senat_die_ansichten_der_niedersaechsischen_landesnahverkehrsgesellschaft_bezueglich_der_met.md
21/8416;2017-03-22;2017-03-28;G20-Gegner auf Kampnagel;"Dirk Nockemann; Prof. Dr. Jörn Kruse";AfD;10;46;4;True;True;52274;21_08416_g20_gegner_auf_kampnagel.md
21/8417;2017-03-22;2017-03-28;Effizienzwohnungsbauprogramm des Senats: Wie läuft es an?;Detlef Ehlebracht;AfD;12;25;3;True;True;52275;21_08417_effizienzwohnungsbauprogramm_des_senats_wie_laeuft_es_an.md
21/8418;2017-03-22;2017-03-28;Personalversammlung der Mitarbeiter der Hamburger Kundenzentren;"Richard Seelmaecker; Dr. Jens Wolf";CDU;5;8;2;True;True;52276;21_08418_personalversammlung_der_mitarbeiter_der_hamburger_kundenzentren.md
21/8419;2017-03-22;2017-03-28;Digitale Stromzähler „Smart Meter“;Detlef Ehlebracht;AfD;9;14;2;True;True;52277;21_08419_digitale_stromzaehler_smart_meter.md
21/8420;2017-03-22;2017-03-28;WLAN und der Einsatz von Taschenrechnern in Hamburgs Schulen;Anna-Elisabeth von Treuenfels-Frowein;FDP;10;16;3;True;True;52278;21_08420_wlan_und_der_einsatz_von_taschenrechnern_in_hamburgs_schulen.md
21/8421;2017-03-22;2017-03-28;Mangelnder Erfolg des Schulschwimmens;Daniel Oetzel;FDP;8;12;2;True;True;52279;21_08421_mangelnder_erfolg_des_schulschwimmens.md
21/8422;2017-03-22;2017-03-28;Ausbildungsreife nach der Stadtteilschule – Fehlanzeige?;"Franziska Grunwaldt; Karin Prien";CDU;7;10;5;True;True;52280;21_08422_ausbildungsreife_nach_der_stadtteilschule_fehlanzeige.md
21/8423;2017-03-22;2017-03-28;Was geschieht auf der Fläche des ehemaligen Sportplatzes des Lemsahler SV zwischen Fiersbarg, Huulkamp und Raamfeld? (II);Dennis Thering;CDU;2;3;1;True;True;52281;21_08423_was_geschieht_auf_der_flaeche_des_ehemaligen_sportplatzes_des_lemsahler_sv_zwischen_fiersbarg_huulkam.md
